# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed May 15 05:53:33 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.002 -0.88764 6.17609 0.5581966639 2.2903301170    0.558 -0.194  3.6277  3.841    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.255 7.974 7.080 5.985 5.216 4.596 3.733 3.026 2.901
0.002 -0.88764 6.17609 0.5709791183 2.3002963673    0.570 -0.176  3.6308  3.846    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.211 7.871 6.998 5.917 5.160 4.550 3.696 2.994 2.872
0.002 -0.88764 6.17609 0.5866947770 2.3118677216    0.586 -0.154  3.6350  3.852    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.156 7.728 6.889 5.830 5.089 4.493 3.652 2.958 2.839
0.002 -0.88764 6.17609 0.6032454967 2.3233074050    0.603 -0.132  3.6396  3.861    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.101 7.578 6.776 5.741 5.016 4.436 3.608 2.923 2.809
0.002 -0.88764 6.17609 0.6040982604 2.3238773285    0.604 -0.131  3.6398  3.861    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.098 7.570 6.770 5.736 5.013 4.433 3.606 2.921 2.807
0.002 -0.88764 6.17609 0.6313720345 2.3411753900    0.631 -0.097  3.6457  3.870    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.49e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 5.011 7.342 6.605 5.603 4.905 4.342 3.537 2.871 2.761
0.002 -0.88764 6.17609 0.6499999762 2.3520353107    0.650 -0.073  3.6498  3.875    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.952 7.182 6.490 5.510 4.830 4.278 3.489 2.836 2.730
0.002 -0.88764 6.17609 0.6673921347 2.3615480002    0.667 -0.052  3.6532  3.880    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.901 7.057 6.400 5.435 4.769 4.225 3.449 2.806 2.702
0.002 -0.88764 6.17609 0.6976088881 2.3767853679    0.698 -0.015  3.6593  3.886    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.808 6.830 6.236 5.298 4.657 4.127 3.374 2.752 2.652
0.002 -0.88764 6.17609 0.6976190209 2.3767902235    0.698 -0.015  3.6593  3.886    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.808 6.830 6.236 5.298 4.657 4.127 3.374 2.752 2.652
