# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Fri Apr  5 13:29:59 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.002 -0.88764 6.00000 0.6409143806 2.3468291780    0.641  0.075  3.6566  3.749    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.52e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.583 6.642 6.037 5.090 4.443 3.908 3.143 2.509 2.408
0.002 -0.88764 6.00000 0.6499999762 2.3520353107    0.650  0.085  3.6584  3.751    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.55e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.557 6.577 5.990 5.051 4.411 3.880 3.122 2.494 2.394
0.002 -0.88764 6.00000 0.6563732624 2.3555885175    0.656  0.092  3.6595  3.753    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.58e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.540 6.538 5.962 5.027 4.391 3.862 3.108 2.484 2.385
0.002 -0.88764 6.00000 0.6905199289 2.3733481502    0.691  0.132  3.6654  3.759    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.73e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.441 6.328 5.803 4.892 4.276 3.761 3.027 2.419 2.324
0.002 -0.88764 6.00000 0.6976190209 2.3767902235    0.698  0.140  3.6668  3.761    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.77e-13      0.00 7.459e-01 2.521e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 4.421 6.284 5.770 4.864 4.253 3.741 3.011 2.407 2.312
0.002 -0.88764 6.00000 0.7091983557 2.3822349087    0.709  0.152  3.6694  3.766    0  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.81e-13      0.00 7.459e-01 2.521e-01 3.585e-04 9.699e-05 8.799e-04 -1.000 2.000e-03 4.390 6.205 5.713 4.817 4.215 3.709 2.988 2.392 2.298
0.002 -0.88764 6.00000 0.7452380657 2.3979428592    0.745  0.194  3.6780  3.780    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.97e-13      0.00 7.459e-01 2.521e-01 3.553e-04 9.691e-05 8.801e-04 -1.000 2.000e-03 4.285 5.947 5.528 4.664 4.091 3.602 2.909 2.339 2.251
0.002 -0.88764 6.00000 0.7527994514 2.4010197487    0.753  0.201  3.6790  3.782    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.99e-13      0.00 7.459e-01 2.521e-01 3.553e-04 9.691e-05 8.801e-04 -1.000 2.000e-03 4.268 5.915 5.503 4.643 4.072 3.585 2.896 2.329 2.241
0.002 -0.88764 6.00000 0.7878135443 2.4143866352    0.788  0.234  3.6834  3.786    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.184 5.748 5.378 4.534 3.978 3.500 2.827 2.276 2.190
0.002 -0.88764 6.00000 0.7928571701 2.4162005293    0.793  0.239  3.6841  3.787    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.17e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.173 5.725 5.361 4.520 3.966 3.488 2.819 2.270 2.184
0.002 -0.88764 6.00000 0.7997668386 2.4186428673    0.799  0.244  3.6848  3.788    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.19e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.159 5.699 5.342 4.503 3.951 3.475 2.808 2.261 2.176
0.002 -0.88764 6.00000 0.8401581049 2.4320003440    0.840  0.279  3.6890  3.792    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.35e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.074 5.535 5.218 4.394 3.856 3.388 2.737 2.206 2.123
0.002 -0.88764 6.00000 0.8404761553 2.4320996799    0.840  0.279  3.6891  3.792    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.35e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.073 5.534 5.217 4.394 3.855 3.387 2.737 2.206 2.123
0.002 -0.88764 6.00000 0.8565086722 2.4369973570    0.856  0.291  3.6906  3.794    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.41e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 4.042 5.477 5.174 4.355 3.821 3.356 2.711 2.186 2.103
0.002 -0.88764 6.00000 0.8880952597 2.4460542408    0.887  0.317  3.6936  3.796    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.54e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 3.979 5.366 5.086 4.279 3.753 3.294 2.659 2.142 2.061
0.002 -0.88764 6.00000 0.8926336765 2.4472951262    0.892  0.320  3.6940  3.797    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.56e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 3.971 5.352 5.075 4.269 3.745 3.286 2.652 2.136 2.056
0.002 -0.88764 6.00000 0.9357142448 2.4583881489    0.935  0.353  3.6979  3.799    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.74e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 3.887 5.209 4.961 4.169 3.655 3.203 2.582 2.077 1.998
0.002 -0.88764 6.00000 0.9529165626 2.4624967407    0.952  0.365  3.6993  3.801    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.79e-13      0.00 7.459e-01 2.521e-01 3.549e-04 9.690e-05 8.801e-04 -1.000 2.000e-03 3.858 5.159 4.923 4.135 3.625 3.175 2.559 2.058 1.979
